"variable" "mean" "activity" "subject"
"tBodyAcc_mean_X" 0.268648643296245 "LAYING" NA
"tBodyAcc_mean_Y" -0.0183177280685082 "LAYING" NA
"tBodyAcc_mean_Z" -0.107435631519084 "LAYING" NA
"tBodyAcc_std_X" -0.960932405036523 "LAYING" NA
"tBodyAcc_std_Y" -0.943507185574074 "LAYING" NA
"tBodyAcc_std_Z" -0.948069300024897 "LAYING" NA
"tGravityAcc_mean_X" -0.375021333827161 "LAYING" NA
"tGravityAcc_mean_Y" 0.622270362899691 "LAYING" NA
"tGravityAcc_mean_Z" 0.55561247407572 "LAYING" NA
"tGravityAcc_std_X" -0.943319727953189 "LAYING" NA
"tGravityAcc_std_Y" -0.963191706084414 "LAYING" NA
"tGravityAcc_std_Z" -0.951868724368827 "LAYING" NA
"tBodyAccJerk_mean_X" 0.0818473898341049 "LAYING" NA
"tBodyAccJerk_mean_Y" 0.0111723565401199 "LAYING" NA
"tBodyAccJerk_mean_Z" -0.00485976942268338 "LAYING" NA
"tBodyAccJerk_std_X" -0.980381808513375 "LAYING" NA
"tBodyAccJerk_std_Y" -0.971147567757202 "LAYING" NA
"tBodyAccJerk_std_Z" -0.979476595910494 "LAYING" NA
"tBodyGyro_mean_X" -0.0167253403420918 "LAYING" NA
"tBodyGyro_mean_Y" -0.0934107103603086 "LAYING" NA
"tBodyGyro_mean_Z" 0.125885141252623 "LAYING" NA
"tBodyGyro_std_X" -0.967892432932613 "LAYING" NA
"tBodyGyro_std_Y" -0.963192469243827 "LAYING" NA
"tBodyGyro_std_Z" -0.963509228024691 "LAYING" NA
"tBodyGyroJerk_mean_X" -0.101864299363374 "LAYING" NA
"tBodyGyroJerk_mean_Y" -0.038198085408019 "LAYING" NA
"tBodyGyroJerk_mean_Z" -0.0638498197415123 "LAYING" NA
"tBodyGyroJerk_std_X" -0.976124813760288 "LAYING" NA
"tBodyGyroJerk_std_Y" -0.980473581049383 "LAYING" NA
"tBodyGyroJerk_std_Z" -0.984782526095679 "LAYING" NA
"tBodyAccMag_mean" -0.941110656500514 "LAYING" NA
"tBodyAccMag_std" -0.932160020511831 "LAYING" NA
"tGravityAccMag_mean" -0.941110656500514 "LAYING" NA
"tGravityAccMag_std" -0.932160020511831 "LAYING" NA
"tBodyAccJerkMag_mean" -0.97920875497428 "LAYING" NA
"tBodyAccJerkMag_std" -0.974240573559671 "LAYING" NA
"tBodyGyroMag_mean" -0.938435972026749 "LAYING" NA
"tBodyGyroMag_std" -0.940596109587449 "LAYING" NA
"tBodyGyroJerkMag_mean" -0.982726626075103 "LAYING" NA
"tBodyGyroJerkMag_std" -0.976754966054527 "LAYING" NA
"fBodyAcc_mean_X" -0.966812071347737 "LAYING" NA
"fBodyAcc_mean_Y" -0.952678416904835 "LAYING" NA
"fBodyAcc_mean_Z" -0.960018019984568 "LAYING" NA
"fBodyAcc_std_X" -0.959031456047479 "LAYING" NA
"fBodyAcc_std_Y" -0.942460971074588 "LAYING" NA
"fBodyAcc_std_Z" -0.945643635450566 "LAYING" NA
"fBodyAcc_meanFreq_X" -0.259376067222388 "LAYING" NA
"fBodyAcc_meanFreq_Y" 0.143045583957866 "LAYING" NA
"fBodyAcc_meanFreq_Z" 0.20318696277 "LAYING" NA
"fBodyAccJerk_mean_X" -0.980197655180041 "LAYING" NA
"fBodyAccJerk_mean_Y" -0.971383628894033 "LAYING" NA
"fBodyAccJerk_mean_Z" -0.976614530180041 "LAYING" NA
"fBodyAccJerk_std_X" -0.982459599243827 "LAYING" NA
"fBodyAccJerk_std_Y" -0.973051242896091 "LAYING" NA
"fBodyAccJerk_std_Z" -0.980971915740741 "LAYING" NA
"fBodyAccJerk_meanFreq_X" 0.105178707989746 "LAYING" NA
"fBodyAccJerk_meanFreq_Y" 0.00485365387352315 "LAYING" NA
"fBodyAccJerk_meanFreq_Z" 0.0699619900375761 "LAYING" NA
"fBodyGyro_mean_X" -0.962915035776389 "LAYING" NA
"fBodyGyro_mean_Y" -0.967582058544239 "LAYING" NA
"fBodyGyro_mean_Z" -0.964184423173868 "LAYING" NA
"fBodyGyro_std_X" -0.96974730340535 "LAYING" NA
"fBodyGyro_std_Y" -0.961365374902263 "LAYING" NA
"fBodyGyro_std_Z" -0.966725247165638 "LAYING" NA
"fBodyGyro_meanFreq_X" -0.0174605087394012 "LAYING" NA
"fBodyGyro_meanFreq_Y" -0.139337310710561 "LAYING" NA
"fBodyGyro_meanFreq_Z" 0.11328010251823 "LAYING" NA
"fBodyAccMag_mean" -0.94767271172428 "LAYING" NA
"fBodyAccMag_std" -0.934916672889661 "LAYING" NA
"fBodyAccMag_meanFreq" 0.116228984859398 "LAYING" NA
"fBodyAccJerkMag_mean" -0.974300115365226 "LAYING" NA
"fBodyAccJerkMag_std" -0.97318339962963 "LAYING" NA
"fBodyAccJerkMag_meanFreq" 0.281115014821636 "LAYING" NA
"fBodyGyroMag_mean" -0.95485445779321 "LAYING" NA
"fBodyGyroMag_std" -0.942115714415638 "LAYING" NA
"fBodyGyroMag_meanFreq" -0.0293652946094444 "LAYING" NA
"fBodyGyroJerkMag_mean" -0.977968240452675 "LAYING" NA
"fBodyGyroJerkMag_std" -0.976648216795267 "LAYING" NA
"fBodyGyroJerkMag_meanFreq" 0.165728127309943 "LAYING" NA
"tBodyAcc_mean_X" 0.273059614418965 "SITTING" NA
"tBodyAcc_mean_Y" -0.0126895730832639 "SITTING" NA
"tBodyAcc_mean_Z" -0.105517003220878 "SITTING" NA
"tBodyAcc_std_X" -0.983446221750141 "SITTING" NA
"tBodyAcc_std_Y" -0.934880562895515 "SITTING" NA
"tBodyAcc_std_Z" -0.938981580616207 "SITTING" NA
"tGravityAcc_mean_X" 0.879731193472144 "SITTING" NA
"tGravityAcc_mean_Y" 0.108713540331707 "SITTING" NA
"tGravityAcc_mean_Z" 0.153774088505577 "SITTING" NA
"tGravityAcc_std_X" -0.979682230393922 "SITTING" NA
"tGravityAcc_std_Y" -0.957672740350591 "SITTING" NA
"tGravityAcc_std_Z" -0.947357438593134 "SITTING" NA
"tBodyAccJerk_mean_X" 0.0758788492274395 "SITTING" NA
"tBodyAccJerk_mean_Y" 0.00504690529678683 "SITTING" NA
"tBodyAccJerk_mean_Z" -0.0024866605775919 "SITTING" NA
"tBodyAccJerk_std_X" -0.984997226336522 "SITTING" NA
"tBodyAccJerk_std_Y" -0.973883160517726 "SITTING" NA
"tBodyAccJerk_std_Z" -0.982296486972425 "SITTING" NA
"tBodyGyro_mean_X" -0.0384313168439482 "SITTING" NA
"tBodyGyro_mean_Y" -0.0721208098964153 "SITTING" NA
"tBodyGyro_mean_Z" 0.0777771461510523 "SITTING" NA
"tBodyGyro_std_X" -0.981022213218908 "SITTING" NA
"tBodyGyro_std_Y" -0.966708127310073 "SITTING" NA
"tBodyGyro_std_Z" -0.958007496724817 "SITTING" NA
"tBodyGyroJerk_mean_X" -0.0956521058184581 "SITTING" NA
"tBodyGyroJerk_mean_Y" -0.040779780524009 "SITTING" NA
"tBodyGyroJerk_mean_Z" -0.0507555280236061 "SITTING" NA
"tBodyGyroJerk_std_X" -0.985705127658976 "SITTING" NA
"tBodyGyroJerk_std_Y" -0.986502338745076 "SITTING" NA
"tBodyGyroJerk_std_Z" -0.983805514068655 "SITTING" NA
"tBodyAccMag_mean" -0.95464392144063 "SITTING" NA
"tBodyAccMag_std" -0.939324188353517 "SITTING" NA
"tGravityAccMag_mean" -0.95464392144063 "SITTING" NA
"tGravityAccMag_std" -0.939324188353517 "SITTING" NA
"tBodyAccJerkMag_mean" -0.98244444337085 "SITTING" NA
"tBodyAccJerkMag_std" -0.978907079240293 "SITTING" NA
"tBodyGyroMag_mean" -0.946724138930782 "SITTING" NA
"tBodyGyroMag_std" -0.951199015615082 "SITTING" NA
"tBodyGyroJerkMag_mean" -0.987880071435003 "SITTING" NA
"tBodyGyroJerkMag_std" -0.98460762855937 "SITTING" NA
"fBodyAcc_mean_X" -0.983091966702307 "SITTING" NA
"fBodyAcc_mean_Y" -0.947917966193585 "SITTING" NA
"fBodyAcc_mean_Z" -0.957031035425999 "SITTING" NA
"fBodyAcc_std_X" -0.983747266764209 "SITTING" NA
"fBodyAcc_std_Y" -0.932533490271469 "SITTING" NA
"fBodyAcc_std_Z" -0.934336687975915 "SITTING" NA
"fBodyAcc_meanFreq_X" -0.0426402475024423 "SITTING" NA
"fBodyAcc_meanFreq_Y" 0.0653031714930951 "SITTING" NA
"fBodyAcc_meanFreq_Z" 0.0802983762109857 "SITTING" NA
"fBodyAccJerk_mean_X" -0.985188769302195 "SITTING" NA
"fBodyAccJerk_mean_Y" -0.973988189836804 "SITTING" NA
"fBodyAccJerk_mean_Z" -0.97956197226224 "SITTING" NA
"fBodyAccJerk_std_X" -0.98618495368036 "SITTING" NA
"fBodyAccJerk_std_Y" -0.975750855391109 "SITTING" NA
"fBodyAccJerk_std_Z" -0.983670821046708 "SITTING" NA
"fBodyAccJerk_meanFreq_X" 0.185014353841248 "SITTING" NA
"fBodyAccJerk_meanFreq_Y" -0.0583108773539561 "SITTING" NA
"fBodyAccJerk_meanFreq_Z" 0.00299622469976759 "SITTING" NA
"fBodyGyro_mean_X" -0.977267261395611 "SITTING" NA
"fBodyGyro_mean_Y" -0.972457592965672 "SITTING" NA
"fBodyGyro_mean_Z" -0.961028716797974 "SITTING" NA
"fBodyGyro_std_X" -0.982333273978616 "SITTING" NA
"fBodyGyro_std_Y" -0.964033658897017 "SITTING" NA
"fBodyGyro_std_Z" -0.961030235486775 "SITTING" NA
"fBodyGyro_meanFreq_X" 0.0625911646973101 "SITTING" NA
"fBodyGyro_meanFreq_Y" -0.218028334561964 "SITTING" NA
"fBodyGyro_meanFreq_Z" -0.0126999936364434 "SITTING" NA
"fBodyAccMag_mean" -0.952410413225098 "SITTING" NA
"fBodyAccMag_std" -0.942000150701182 "SITTING" NA
"fBodyAccMag_meanFreq" 0.114105393420517 "SITTING" NA
"fBodyAccJerkMag_mean" -0.978684370388295 "SITTING" NA
"fBodyAccJerkMag_std" -0.978154770658413 "SITTING" NA
"fBodyAccJerkMag_meanFreq" 0.281460817910214 "SITTING" NA
"fBodyGyroMag_mean" -0.964296113911086 "SITTING" NA
"fBodyGyroMag_std" -0.951641735873945 "SITTING" NA
"fBodyGyroMag_meanFreq" -0.076439552620045 "SITTING" NA
"fBodyGyroJerkMag_mean" -0.985335632976927 "SITTING" NA
"fBodyGyroJerkMag_std" -0.984491355740011 "SITTING" NA
"fBodyGyroJerkMag_meanFreq" 0.177738590515189 "SITTING" NA
"tBodyAcc_mean_X" 0.279153494050367 "STANDING" NA
"tBodyAcc_mean_Y" -0.016151886473745 "STANDING" NA
"tBodyAcc_mean_Z" -0.106586908690788 "STANDING" NA
"tBodyAcc_std_X" -0.98443471156873 "STANDING" NA
"tBodyAcc_std_Y" -0.932508714024134 "STANDING" NA
"tBodyAcc_std_Z" -0.939913504673138 "STANDING" NA
"tGravityAcc_mean_X" 0.941479635262329 "STANDING" NA
"tGravityAcc_mean_Y" -0.18424651390288 "STANDING" NA
"tGravityAcc_mean_Z" -0.0140519613122015 "STANDING" NA
"tGravityAcc_std_X" -0.988015176652676 "STANDING" NA
"tGravityAcc_std_Y" -0.969351769994753 "STANDING" NA
"tGravityAcc_std_Z" -0.953082525826338 "STANDING" NA
"tBodyAccJerk_mean_X" 0.0750279173525708 "STANDING" NA
"tBodyAccJerk_mean_Y" 0.00880525863452886 "STANDING" NA
"tBodyAccJerk_mean_Z" -0.00458206132902833 "STANDING" NA
"tBodyAccJerk_std_X" -0.97996855569255 "STANDING" NA
"tBodyAccJerk_std_Y" -0.964342752203568 "STANDING" NA
"tBodyAccJerk_std_Z" -0.979485931469045 "STANDING" NA
"tBodyGyro_mean_X" -0.0266871408413746 "STANDING" NA
"tBodyGyro_mean_Y" -0.0677118654705719 "STANDING" NA
"tBodyGyro_mean_Z" 0.0801422394994229 "STANDING" NA
"tBodyGyro_std_X" -0.94552836296957 "STANDING" NA
"tBodyGyro_std_Y" -0.961293278672613 "STANDING" NA
"tBodyGyro_std_Z" -0.957053051274921 "STANDING" NA
"tBodyGyroJerk_mean_X" -0.0997292806919727 "STANDING" NA
"tBodyGyroJerk_mean_Y" -0.0423171100101784 "STANDING" NA
"tBodyGyroJerk_mean_Z" -0.052095548445404 "STANDING" NA
"tBodyGyroJerk_std_X" -0.966957942859391 "STANDING" NA
"tBodyGyroJerk_std_Y" -0.980263299260231 "STANDING" NA
"tBodyGyroJerk_std_Z" -0.977067117235047 "STANDING" NA
"tBodyAccMag_mean" -0.954179661789087 "STANDING" NA
"tBodyAccMag_std" -0.946534779481637 "STANDING" NA
"tGravityAccMag_mean" -0.954179661789087 "STANDING" NA
"tGravityAccMag_std" -0.946534779481637 "STANDING" NA
"tBodyAccJerkMag_mean" -0.97711802452256 "STANDING" NA
"tBodyAccJerkMag_std" -0.971452977271773 "STANDING" NA
"tBodyGyroMag_mean" -0.942152523158447 "STANDING" NA
"tBodyGyroMag_std" -0.929531182355719 "STANDING" NA
"tBodyGyroJerkMag_mean" -0.978697092402938 "STANDING" NA
"tBodyGyroJerkMag_std" -0.973528580524659 "STANDING" NA
"fBodyAcc_mean_X" -0.98162230498426 "STANDING" NA
"fBodyAcc_mean_Y" -0.943132376852046 "STANDING" NA
"fBodyAcc_mean_Z" -0.957359650828961 "STANDING" NA
"fBodyAcc_std_X" -0.985859786930745 "STANDING" NA
"fBodyAcc_std_Y" -0.931132967334732 "STANDING" NA
"fBodyAcc_std_Z" -0.935439598488982 "STANDING" NA
"fBodyAcc_meanFreq_X" 0.0155958491724008 "STANDING" NA
"fBodyAcc_meanFreq_Y" -0.0332741191101417 "STANDING" NA
"fBodyAcc_meanFreq_Z" 0.0524670025367366 "STANDING" NA
"fBodyAccJerk_mean_X" -0.980008693961175 "STANDING" NA
"fBodyAccJerk_mean_Y" -0.96454742224554 "STANDING" NA
"fBodyAccJerk_mean_Z" -0.976157838746065 "STANDING" NA
"fBodyAccJerk_std_X" -0.981826075755509 "STANDING" NA
"fBodyAccJerk_std_Y" -0.966831630482686 "STANDING" NA
"fBodyAccJerk_std_Z" -0.981509250650577 "STANDING" NA
